name,team,battingStyle,bowlingStyle,playingRole,description,warning,warning_code,error
Tim Southee,New Zealand,Right hand Bat,Right arm Medium fast,Bowler,"Tim Southee, a right-arm swing bowler, burst upon the international scene in great style. He was still only 19, with only one T20I cap behind him, and fresh from a Player-of-the-Tournament performance at the 2008 Under-19 World Cup when he was handed a Test debut against England in Napier. Southee responded with 5 for 55 before smashing 77 off 40 balls in the second innings with nine sixes.",,,
Naveen-ul-Haq,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler,,,,
Brandon Glover,Netherlands,Right hand Bat,Right arm Fast,Bowler,"A Dutch-South African fast bowler, Brandon Glover left South Africa after a call from Netherlands coach Ryan Campbell, who convinced him to put his Dutch passport to good use after he had finished his accounting degree. He had played Under-19 cricket for South Africa, but was enticed by the opportunity to play regular international cricket, and starred at the T20 World Cup Qualifier in late 2019, bowling hard lengths into the pitch at high pace.",,,
Barry McCarthy,Ireland,Right hand Bat,Right arm Fast medium,Bowler,"Barry McCarthy is an Ireland seam bowler whose involvement with Durham owed much to a recommendation by their England allrounder, Ben Stokes, who faced him in the nets before a one-day international and advised his county to take a look. Durham did just that and McCarthy made his first-class debut in 2015. A maiden five-wicket haul for Durham against Lancashire in Chester-le-Street the following year added to the good impression he had built at Ireland Under-19 level and during a spell with the Australian grade side Randwick-Petersham. ",,,
Ahmed Raza,U.A.E.,Right hand Bat,Slow Left arm Orthodox,Bowler,"Six-foot-five Ahmed Raza is best known for his economical spells of left-arm spin. In a must-win World Cricket Division Two game for UAE against Oman in 2018, he conceded only 16 runs in nine overs for two wickets, and in an Asia Cup match against Oman in 2016, he took 1 for 6 from three overs. ",,,
Kane Richardson,Australia,Right hand Bat,Right arm Fast medium,Bowler,"A pace bowler who has often been on the fringes of Australia's ODI and T20 teams, Kane Richardson is know for his skills at the death and has an excellent yorker. Although he has struggled to gain much traction at first-class level for South Australia, Richardson is very effective in the shorter forms and in 2019 was a late addition to the World Cup squad.",,,
Muhammad Waseem,U.A.E.,Right hand Bat,Right arm Medium,Opening Batter,,,,
Ravichandran Ashwin,India,Right hand Bat,Right arm Offbreak,Bowling Allrounder,,,,
David Warner,Australia,Left hand Bat,Legbreak,Opening Batter,David Warner's extraordinary batting feats in all three formats for Australia will forever be overshadowed by his role as the chief protagonist of the Newlands ball-tampering scandal of 2018 and his place as a central figure in Australian cricket's ensuing cultural crisis.,,,
Zawar Farid,U.A.E.,Right hand Bat,Right arm Medium,Bowler,,,,
Alex Hales,England,Right hand Bat,Right arm Medium,Opening Batter,"Alex Hales' central role in England's T20 World Cup win in 2022 ensured he would be remembered for what he achieved, rather than what he missed. Three years earlier, Hales had watched England lift the 50-over World Cup from his sofa; he was dropped a month before the tournament after news of a failed recreational drugs test broke in the media, prompting what Eoin Morgan described as ""a complete breakdown in trust"" between him and his team-mates.",,,
Aiden Markram,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africa's Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe. ",,,
Mitchell Starc,Australia,Left hand Bat,Left arm Fast,Bowler,,,,
Rovman Powell,West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter,"A middle-order batter who bowls occasional medium pace, Rovman Powell has been a semi-regular presence in West Indies' white-ball squads from the mid-2010s without quite nailing down a spot. ",,,
Junaid Siddique,U.A.E.,Right hand Bat,Right arm Medium fast,Bowler,,,,
Mehidy Hasan Miraz,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,"Mehedi Hasan Miraz has emerged as one of the brightest young stars in Bangladesh cricket. He led the country to their first appearance in an Under-19 World Cup semi-final in February 2016, before making the year more memorable with his Test debut, against England in October.",,,
Liam Livingstone,England,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,"Liam Livingstone broke into the spotlight when he made a T20I hundred off 42 balls against Pakistan in 2021 - the fastest century in the format by an England player. By then he had a reputation in English cricket as a batter equipped with plenty of raw power and the ability to dismantle good bowling attacks, a sharp outfielder, and a useful spinner who could turn the ball either way.",,,
Colin Ackermann,Netherlands,Right hand Bat,Right arm Offbreak,Batting Allrounder,"Having relinquished his South African qualification to sign a contract with Leicestershire, taking advantage of an EU passport, Colin Ackermann was part of the late-2010s exodus that rocked cricket in his home country. Although less heralded at the time, Ackermann was a former South Africa U-19 who had topped the Sunfoil averages in 2016-17, and might have been in contention for a Test call-up had he not taken the well-trodden English county route.",,,
Richard Ngarava,Zimbabwe,Left hand Bat,Left arm Fast medium,Bowler,,,,
Matthew Cross†,Scotland,Right hand Bat,,Wicketkeeper Batter,"A wicketkeeper-batter from Aberdeen, Matthew Cross got into the Scotland set-up at U-13 level, progressed up the ranks, making a good impression as vice-captain for the U-19s in the 2012 World Cup in Australia, and then broke into the senior side the following year.",,,
Bhuvneshwar Kumar,India,Right hand Bat,Right arm Medium,Bowler,"At the time of his India debut in 2012, Bhuvneshwar Kumar seemed the answer to the side's fast-bowling scarcity; though middling in pace, he produced swing both ways and had a devastating inswinger. In his first T20I over, he bowled Nasir Jamshed; with his first ODI delivery, he bowled Mohammad Hafeez; and in his first Test series he played a part in India's first whitewash win in a four-Test series, against Australia in 2013. ",,,
Mark Watt,Scotland,Left hand Bat,Slow Left arm Orthodox,Bowler,"Scotland left-arm spinner Mark Watt made a quiet international debut in 2015 but drew attention to himself more firmly two years on when he took five wickets against Netherlands in a T20I in Dubai, despatching them from 82 for 4 to nine down for less than 100. Later that year, he took three in a famous win against England in an ODI, Scotland's first. Watt won opportunities with Lancashire that summer, although he only took one wicket in four matches.",,,
Fareed Ahmad,Afghanistan,Left hand Bat,Left arm Fast medium,Bowler,,,,
Mitchell Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder,,,,
Lockie Ferguson,New Zealand,Right hand Bat,Right arm Fast,Bowler,"Fiercely quick right-arm fast bowler Lockie Ferguson made an impact at the 2019 ODI World Cup in England with his bruising pace and bounce, taking 21 wickets at under 20 runs apiece and an economy rate of 4.88 - the second most wickets in the tournament. ",,,
Ashton Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler,"Ashton Agar initially turned almost as many heads as he has turned cricket balls. At the age of 19 he had a place in the squads of Western Australia, Perth Scorchers, and the national team, having sensationally been upgraded from an internship on the 2013 tour of India to a more expansive role in Michael Clarke's squad. ",,,
Chris Greaves,Scotland,Right hand Bat,Legbreak,Bowler,,,,
Karthik Meiyappan,U.A.E.,Right hand Bat,Legbreak,Bowler,,,,
Matthew Wade(c)†,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter,"It has been a career of reinvention for Matthew Wade, who went from Test wicketkeeper to specialist middle-order batter to T20I World Cup-winning wicketkeeper-finisher, via a prolific run in domestic cricket when it appeared his international days were over.",,,
Darwish Rasooli,Afghanistan,Right hand Bat,Right arm Offbreak,Top order Batter,,,,
Luke Jongwe,Zimbabwe,Right hand Bat,Right arm Fast medium,Allrounder,,,,
Josh Little,Ireland,Right hand Bat,Left arm Fast medium,Bowler,"A bustling left-arm seamer from Dublin, Josh Little made an immediate impression on ODI debut against England in 2019 when he took 4 for 45 - including the wicket of Eoin Morgan with a sharp bouncer - to leave the world's No. 1-ranked side struggling in an ultimately successful run chase.",,,
Lorcan Tucker†,Ireland,Right hand Bat,,Wicketkeeper Batter,"Wicketkeeper-batter Lorcan Tucker, who was among Ireland's first batch of contracted cricketers, made his international debut in 2016, before he played his first first-class game the following year.  His father and brothers also played the game; Tucker and his younger brother Fiachra both figured in the 2016 Ireland Under-19 World Cup squad.",,,
Jan Frylinck,Namibia,Left hand Bat,Left arm Fast medium,Allrounder,,,,
Johnson Charles,West Indies,Right hand Bat,,Wicketkeeper Batter,"A muscular opener with a penchant for swatting the ball square either side of the wicket, much like Dwayne Smith, Johnson Charles was part of West Indies' T20 World Cup winning teams in 2012 and 2016. While Smith's second skill is seam bowling, Charles' is wicketkeeping. With Denesh Ramdin representing West Indies in all three formats, and Andre Fletcher also in the limited-overs mix, West Indies have used Charles' second skill sparingly.",,,
Fakhar Zaman,Pakistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,"Born in Mardan, where the standard of batsmanship will always be measured by arguably Pakistan's greatest Test batsman Younis Khan, Fakhar Zaman has been on Pakistan's thankless domestic circuit for over five years with almost no attention. A left-handed opener with an unusually high backlift, Zaman relies on timing for his runs, which he's made plenty of. This is illustrated by his domestic average (42 in first class cricket and 49 in List A). But it wasn't until the Quaid-e-Azam trophy in 2016-17 that his form began to be noticed. Zaman scored 663 runs in the competition at an average of 51, including 170 in the second innings of the final, a game dominated by the twin centuries of former Pakistan captain Salman Butt.",,,
Wellington Masakadza,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Bowler,,,,
Tim David,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter,,,,
David Miller,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter,,,,
Fionn Hand,Ireland,Right hand Bat,Right arm Medium,Bowling Allrounder,,,,
Zahoor Khan,U.A.E.,Right hand Bat,Right arm Medium fast,Bowler,,,,
Ish Sodhi,New Zealand,Right hand Bat,Legbreak,Bowler,"There is little in Ish Sodhi's statistics to suggest he is an international-quality legspinner, but New Zealand's selectors have seen enough in his aggressive approach and keen attitude to hand him a Test debut after only one full season of first-class cricket. Known chiefly for the turn he generates and the flight he fearlessly trusts, Sodhi's journey to top-level cricket has been a triumph of determination over significant odds.",,,
Axar Patel,India,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,,,,
Richie Berrington(c),Scotland,Right hand Bat,Right arm Medium fast,Top order Batter,"Richie Berrington powered Scotland to their long-awaited first victory over an ICC Full Member when his century, which was made in only 56 balls and included five sixes, set-up victory over Bangladesh in a T20 international in July 2012",,,
Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,Bowler,,,,
Shamarh Brooks,West Indies,Right hand Bat,Legbreak,Top order Batter,"In full flow, Shamarh Brooks is all elegance. He drives mercilessly through the off side and often finishes his flicks standing on one leg. But it took four innings in Tests before these skills were visible.",,,
Andy Balbirnie(c),Ireland,Right hand Bat,Right arm Offbreak,Batter,"Already one of Ireland's star batters at No. 3, Andrew Balbirnie flourished with the bat even more after he was made captain across formats late in 2019. Although not a power-hitter, Balbirnie is fluent, keeps the score ticking, and is excellent against spin bowling - his hard sweep is a signature shot.",,,
Aaron Finch(c),Australia,Right hand Bat,Slow Left arm Orthodox,Top order Batter,"A solidly built, aggressive batter from a country town in Victoria, Aaron Finch ascended to become Australia's ODI and T20I captain, leading his country to their first T20 World Cup triumph in 2021. ",,,
Nasum Ahmed,Bangladesh,Left hand Bat,Slow Left arm Orthodox,Bowler,,,,
Paul Stirling,Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder,"Paul Stirling has long been recognised as a formidable cricketing talent both in Ireland and beyond. Before his 23rd birthday, he had already hit two ODI centuries against Pakistan. With a natural swagger and belligerence allied to a portly build, Stirling has evoked comparisons with Jesse Ryder. He generates huge power with seemingly little effort and is particularly strong lashing the ball straight or pulling the ball over midwicket. ",,,
Akeal Hosein,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler,"Akeal Hosein was handed a chance to impress for West Indies in Bangladesh in early 2021 after several senior players opted out of the tour, but his opportunity had been a long time coming. ",,,
Virat Kohli,India,Right hand Bat,Right arm Medium,Top order Batter,,,,
Shariz Ahmad,Netherlands,Left hand Bat,Legbreak Googly,Bowler,,,,
Ben Stokes,England,Left hand Bat,Right arm Fast medium,Allrounder,"The great Irish sports writer Con Houlihan used to say that every team should have a redhead. And it's true that Ben Stokes' combative nature, allied to his powerful frame and outrageous talent, lifted England to another level. Never was that more true than when he secured his place in English cricket history with an indefatigable batting display in the 2019 World Cup final. In making an unbeaten 84 he exhausted every ounce of strength, talent and willpower and then when he imagined it might be all over he came out to bat once more to help win a Super Over by the narrowest of margins.",,,
Gareth Delany,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder,,,,
Nurul Hasan†,Bangladesh,Right hand Bat,,Wicketkeeper Batter,"Nurul Hasan, who made his first-class debut in 2011, is one of a whole host of talented Bangladesh wicketkeepers who had to wait his turn to play international cricket. It wasn't entirely his fault though. For 30 years, the position behind the stumps was the domain of Khaled Mashud or Mushfiqur Rahim. ",,,
Dasun Shanaka(c),Sri Lanka,Right hand Bat,Right arm Medium,Allrounder,"An explosive middle-order batsman, and steady right-arm seam bowler, Dasun Shanaka worked his way into Sri Lanka's T20 side through several seasons of good performances for Sinhalese Sports Club. Born and educated in Negombo, Shanaka made his T20 international debut against Pakistan in August 2015, but it wasn't until the following domestic season that he achieved wide acclaim. Batting at No. 4 in an AIA Premier T20 match against Saracens Sports Club, Shanaka struck a Sri Lankan record 16 sixes in an innings worth 123 from 46 balls. That wasn't even his biggest T20 score of the last week. He had hit 131 off 48 balls against Galle Cricket Club one week earlier.",,,
Phil Salt,England,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Phil Salt's fearless ball-striking at the top of the Sussex order earned him attention from across the global T20 circuit and a maiden England call-up in 2019, though he was made to wait until 2021 for his debut when he performed a passable impression of Jason Roy in the Covid-hit ODI series against Pakistan.",,,
Binura Fernando,Sri Lanka,Right hand Bat,Left arm Medium fast,Bowler,"Known for his ability to generate awkward bounce from a height of 6'7"", and swing the ball, Binura Fernando has been among the leading schoolboy-cricket names over the past two years, claiming 84 wickets in the 2013 season. A left-arm seamer, Fernando was called up to Sri Lanka's Test squad during the 2014 home series against Pakistan despite not having played first-class cricket. He was chosen largely on the strength of his performances for DS Senanayake College and the Sri Lanka Under-19 team.",,,
Jan Nicol Loftie-Eaton,Namibia,Left hand Bat,"Right arm Medium, Legbreak",Batting Allrounder,,,,
Chris Jordan,England,Right hand Bat,Right arm Fast medium,Bowler,"Chris Jordan, a fast bowler with a level-headed calmness and a fearsome yorker, found his niche as a death specialist in T20 cricket for England after initially breaking through as a bowling allrounder in Tests and ODIs. ",,,
Rishabh Pant†,India,Left hand Bat,,Wicketkeeper Batter,,,,
Curtis Campher,Ireland,Right hand Bat,Right arm Medium fast,Allrounder,"Born in Johannesburg, raised in South Africa and a player for the national Under-19 side, Curtis Campher decided to leave his homeland behind and put his Irish passport to good use in early 2020, declaring his intentions to move to Ireland and play for the national team. He went on the Ireland Wolves' tour to Namibia early that year, and impressed sufficiently to win a place in the squad for a three-match ODI series in England in July.",,,
Milton Shumba,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Top order Batter,,,,
Gerhard Erasmus,Namibia,Right hand Bat,Right arm Offbreak,Allrounder,,,,
Mohammad Nawaz,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Mohammad Nawaz started out in cricket at the age of 14 as a left-arm medium-fast bowler and a middle-order batsman. An all-round performance of 60 runs and a four-for for Rawalpindi against Sialkot in an inter-region Under-16 tournament in 2008 earned him a place in the Pakistan side for the International Under-15 Championship in the West Indies. On the slow pitches of the Caribbean, he changed his bowling style to left-arm spin and transformed into a spin-bowling allrounder, with help from  coach Ameer Akbar and team manager Haroon Rashid. ",,,
Quinton de Kock†,South Africa,Left hand Bat,,Wicketkeeper Batter,,,,
Sean Williams,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Middle order Batter,"Sean Williams is a bold, dynamic left-hand batsman, and one of the most striking features about his batting is his proficiency at the reverse-sweep. That shot has occupied a proud position in the repertoire of some of Zimbabwe's finest batsmen: legend has it that Dave Houghton brought up both his hundred and his double with reverse-sweeps in the course of his 266 against Sri Lanka, and Andy Flower used the stroke in an almost profligate manner in many of his memorable innings. Williams is as adept at the stroke as either of these two elder statesmen of Zimbabwean cricket, which he proved during the course of his maiden Test century against New Zealand in Bulawayo in July 2016. Equally astounding was his resolve to overcome sickness and high fever to battle on for over three hours during the course of that knock, in a game in which Zimbabwe were floundering.",,,
Cameron Green,Australia,Right hand Bat,Right arm Fast medium,Batting Allrounder,"Cameron Green was earmarked as an international cricket from very early. Contracted to Western Australia as a schoolboy, he took 5 for 24 on first-class debut against Tasmania in February 2017 as a 17-year-old. He was selected initially for his bowling given his 200cm frame and his ability to deliver fast outswing but was plagued by stress fractures. However, throughout his junior days with Subiaco-Floreat and WA's junior teams his technically sound batting and an unquenchable thirst for scoring runs saw him emerge as a genuine allrounder of rare ability. ",,,
Kyle Mayers,West Indies,Left hand Bat,Right arm Medium,Batting Allrounder,"A left-handed batsman who bowls useful medium pace, Kyle Mayers travelled to England as a reserve for West Indies in 2020 before making his T20I debut in New Zealand later in the year. ",,,
Michael Leask,Scotland,Right hand Bat,Right arm Offbreak,Allrounder,"Michael Leask is an explosive batsman from Aberdeen. He showed as much when he smeared five sixes during a memorable 16-ball 42 in an ODI against England in May 2014. But he has been hampered by inconsistency, and he only mustered 56 runs at an average of 9.33 during the World Cup Qualifiers in 2014. Leask also bowls useful off-spin, taking three wickets in Scotland's win over Tasmania in their World Cup acclimatisation tour in autumn 2014.
Leask played a solitary first-class game for Northants in a tour match against New Zealand A in 2014. He moved on to Somerset ahead of the 2016 season with Somerset's director of cricket Matt Maynard describing him as a ""feisty cricketer"". A scattering of T20 matches were his only outings in his debut season.

ESPNcricinfo staff",,,
Pramod Madushan,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler,,,,
Logan van Beek,Netherlands,Right hand Bat,Right arm Medium fast,Bowler,"Allrounder Logan van Beek came to global attention when he single-handedly ensured West Indies would not make it to the ODI World Cup for the first time in their history. In the Qualifier tournament in Zimbabwe in June 2022, he first lashed 28 off 14 balls to tie the scores in a chase of 374, then smacked three sixes and as many fours off Jason Holder in the Super Over, and sealed the deal with two wickets when West Indies batted.",,,
Fred Klaassen,Netherlands,Right hand Bat,Left arm Fast medium,Bowler,"Spotted as part of a Netherlands development squad which played two one-day friendlies against Kent in 2018, Fred Klaassen joined the county's Second XI, taking nine wickets in two appearances to earn a two-year deal ahead of the 2019 summer. After an impressive debut season for Kent's first team, Klaassen signed a contract extension to keep him at the club at least until the end of 2021.",,,
Mosaddek Hossain,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter,"Mosaddek Hossain, who comes from a family of cricketers, snuck up on Bangladesh cricket's consciousness during the 2013 Dhaka Premier Division Cricket League, helping Abahani Limited stay afloat in a disastrous campaign. He struck a century and three fifties, before having to head to the Bangladesh Under-19 training camp ahead of the 2014 World Cup in the UAE. The opportunity to get out of age-group cricket quite early proved to be an important milestone in his development. ",,,
Usman Ghani,Afghanistan,Right hand Bat,,Opening Batter,"One of the most exciting new talents to emerge from Afghanistan's cricket programmes in recent years, intrepid opening batsman Usman Ghani was good enough to play one-day international cricket for Afghanistan well before his 18th birthday. Ghani was also good enough to race to a century in his fourth ODI, against Zimbabwe, still aged 17. He started 2014 as part of the Afghanistan Under-19 team that defeated Australia and Sri Lanka in the Under-19 World Cup, and ended it as a member of the squad for Afghanistan's first full World Cup campaign. He warmed up for the tournament with a match-winning hundred against an Auckland team that included Kyle Mills and Mitchell McClenaghan.Liam Brickhill",,,
Scott Edwards(c)†,Netherlands,Right hand Bat,,Wicketkeeper Batter,"Born in Tonga and raised in Australia, Scott Edwards made his Netherlands debut in 2017 and decided to abandon his electrical apprenticeship and commit to Dutch cricket. Five years later, he was established in the side as an innovative middle-order batter and wicketkeeper, and took over the captaincy when Pieter Seelaar retired.",,,
Wayne Parnell,South Africa,Left hand Bat,Left arm Medium fast,Bowler,"An aggressive left-handed seamer, who bowls with as much venom as he bats, Wayne Parnell was earmarked for success early and spent the next few years trying to get there. Inconsistency and injury were his nemeses, however, and that led to him abandoning international cricket with South Africa and signing a three-year deal with Worcestershire as a Kolpak after the 2018 English season.",,,
Tendai Chatara,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,"The first thing one notices when watching Tendai Chatara bowl is his curiously lopsided action, his left arm almost glued to his side as he rushes through the crease. But at the other end of that action there have been wickets - and lots of them. A tall, wiry fast bowler with appreciable pace and the ability to move the ball away from the right hander, Chatara has risen quickly to prominence since his first-class debut for Mountaineers in 2009. Naturally athletic, he had represented his home province of Manicaland in 200 and 400 metre events while in high school and soon found his calling in cricket.",,,
Adil Rashid,England,Right hand Bat,Legbreak,Bowler,"Adil Rashid did much to set right English cricket's troubled relationship with legspin when he established himself as the country's leading white-ball spinner in 2015 and four years later was a key part of their World Cup-winning side. At the time of Rashid's recall to the limited-overs set-up in 2015, no legspinner had taken more than five white-ball wickets for England; over the next six years, Rashid took more than 200.",,,
JJ Smit,Namibia,Right hand Bat,Left arm Medium fast,Bowling Allrounder,,,,
Regis Chakabva(c)†,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"A doughty wicketkeeper-batter, Regis Chakabva came up in Zimbabwe cricket through Highfields, Churchill, on to Takashinga, provincial cricket, and eventually, regular appearances in the national teams. ",,,
Bernard Scholtz,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler,"Bernard Scholtz's brother Nicolaas is currently playing for the national side, but Bernard has his chance to impress at the forthcoming Under-19 World Cup in Malaysia. His aim, he says, is ""to compete against the top teams of the world and get exposure to a higher level of cricket"". And that goal moved a step closer in 2008 when he was named in the squad to face Bermuda in the Intercontinental Cup. He has represented Namibia A and is interested in becoming an engineer. Will Luke August 2008",,,
Yasir Ali,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter,,,,
Chris Woakes,England,Right hand Bat,Right arm Fast medium,Allrounder,"By the time Chris Woakes returned from England's tour to South Africa at the start of 2016, he feared his Test career was over. He was 27 by then and had played six Tests. But, despite bowling respectably on almost every outing, he had never quite made the breakthrough and an average of 63.75 made dispiriting reading. It looked as if he may be remembered as one of England's nearly men.",,,
Asif Ali,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,"Where was Asif Ali in the years Pakistan had been crying out for a power hitter? It took the exposure of the PSL for Asif Ali to come to prominence in an Islamabad United side that owed much to him for their title-winning campaign in 2018. A six in a Super Over against Mustafizur Rahman got their campaign up and running, and it wasn't until he smashed three sixes in arrow in a nerve-wracking chase that his side were assured victory. ",,,
Moeen Ali,England,Left hand Bat,Right arm Offbreak,Batting Allrounder,"Moeen Ali was tipped for the top long before he won his Test debut at the start of 2014. But, after building a reputation as an elegant batter, it was his offspin bowling that earned him the call-up when England were left reeling from the surprise retirement of Graeme Swann.",,,
Ruben Trumpelmann,Namibia,Right hand Bat,Left arm Fast,Bowler,,,,
Marcus Stoinis,Australia,Right hand Bat,Right arm Medium,Batting Allrounder,,,,
George Dockrell,Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder,"Left-arm spinner George Dockrell made his international debut for Ireland as a 17-year-old in 2010 though he had been bowling spin for only four years at that point, after coach Brian O'Rourke spotted him having a bowl in a car park during an Ireland age-group tour of Wales. ",,,
Vikramjit Singh,Netherlands,Left hand Bat,Right arm Medium,Opening Batter,,,,
Tristan Stubbs,South Africa,Right hand Bat,Right arm Offbreak,Batter,,,,
Kashif Daud,U.A.E.,Right hand Bat,Right arm Medium fast,Bowling Allrounder,,,,
Danushka Gunathilaka,Sri Lanka,Left hand Bat,Right arm Offbreak,Allrounder,"A poised, attacking left-handed opener groomed in part at Sinhalese Sports Club, Danushka Gunathilaka was plucked from the domestic system largely on potential, and drafted into Sri Lanka's A team for the tour of New Zealand in mid-2015. He impressed on that trip, hitting two smart fifties from four innings, to finish as the team's second-highest run-scorer.",,,
Josh Hazlewood,Australia,Left hand Bat,Right arm Fast medium,Bowler,"A tall and accurate fast bowler who is unrelenting in his line and length, Josh Hazlewood became a fixture in Australia's Test attack as soon as he made his debut in December 2014 and has gone on to enjoy success across all formats. ",,,
Ryan Burl,Zimbabwe,Left hand Bat,Legbreak,Allrounder,"Ryan Burl liked playing squash when he was at school, but his love of cricket - specifically, the team game's camaraderie - made him want to be an international cricketer. A left-hand lower-middle-order batter and occasional legspinner, Burl broke into the Zimbabwe side in 2017, and has also played in the BPL and Afghanistan's Shpageeza Cricket League.",,,
Jason Holder,West Indies,Right hand Bat,Right arm Medium fast,Bowling Allrounder,"Jason Holder was seen as a future talent until a selection panel headed by former World Cup-winner Clive Lloyd appointed him West Indies' ODI captain in 2014. Holder was only 23 at the time, and was still making his way as a fast bowler and a lower-middle order batsman. Less than a year later, he took over the Test team too, indicating how much the WICB and men in the know - ranging from Viv Richards to Brian Lara to Tony Cozier - believed in this man, who comes across as remarkably level-headed and mature for someone so young. ",,,
Aryan Lakra,U.A.E.,Left hand Bat,Slow Left arm Orthodox,Bowler,,,,
Zane Green†,Namibia,Left hand Bat,,Wicketkeeper Batter,,,,
David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder,"David Wiese joined a marked outflow of South Africa players into county cricket in the 2016-17 season when, at 31, he signed a three-year deal with Sussex, joining his compatriot Stiaan van Zyl. Wiese had not played international cricket since March 2016, and turned down a call-up for a home T20I series against Sri Lanka in making his decision to go Kolpak. ",,,
George Munsey,Scotland,Left hand Bat,Right arm Medium fast,Opening Batter,"Known as the reverse-sweeping demon of the Associate world, George Munsey's path to the Scotland national team is as unorthodox as his trademark shot. Born and raised in Oxford, Munsey had dreams of becoming a professional golfer and it was a golf scholarship to the Loretto School, just outside Edinburgh, that brought him to Scotland at age 13. ",,,
Haider Ali,Pakistan,Right hand Bat,,Middle order Batter,,,,
Evin Lewis,West Indies,Left hand Bat,,Opening Batter,"""I hit a lot of sixes, big sixes like him,"" Evin Lewis said when asked why he chose Chris Gayle as his mentor. For an upcoming left-handed opening batsman, especially in the modern game, that's a fairly smart pick.",,,
Arshdeep Singh,India,Left hand Bat,Left arm Medium fast,Bowler,,,,
Safyaan Sharif,Scotland,Right hand Bat,Right arm Medium fast,Bowler,"Born in Huddersfield, Safyaan Sharif made his debut for Scotland at 20 after eye-catching performances for Dunfermline and Scotland U-19s, and took 4 for 27 against the Netherlands in his first ODI in 2011. With 14 wickets at 23.92 apiece, his fast-medium bowling played an important part in Scotland's success in the World Cup Qualifiers in New Zealand in 2014. ",,,
Stephan Baard,Namibia,Right hand Bat,Right arm Medium fast,Batter,,,,
Blessing Muzarabani,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,,,,
Naseem Shah,Pakistan,Right hand Bat,Right arm Fast,Bowler,"Zarai Taraqiati Bank Limited may not be an esteemed name in Pakistan cricket, but it was for this deparment that Naseem Shah made his first-class debut at 15. With a natural, whippy action that generated easy pace, he immediately stood out even in that most competitive of fields - Pakistani fast bowling. A year later, he was making his Pakistan debut in Brisbane, though not before adversity touched him; he would lose his mother just before he received his first Pakistan cap. ",,,
Brad Evans,Zimbabwe,Right hand Bat,Right arm Fast,Allrounder,,,,
Lungi Ngidi,South Africa,Right hand Bat,Right arm Fast medium,Bowler,"A tall, imposing 140kph-plus fast bowler, Lungi Ngidi is as comfortable opening the bowling as he is at the death, and has been a regular presence in South Africa's sides, if not quite a shoo-in. ",,,
Kusal Mendis†,Sri Lanka,Right hand Bat,Legbreak,Wicketkeeper Batter,"Blessed with a compact technique, an aggressive impulse, and an iron resolve, Kusal Mendis rose rapidly through the age-group system, and quickly became one of the most promising young batsmen in the world. He had played only 16 first-class innings before he made his Test debut at the age of 20, and had hit only one first-class hundred before he made a maiden Test ton. That hundred - the 176 against Australia at Pallekele - was a match-flipping, series-defining knock, which given the fact no other batsman mustered more than 55 in the game, is one of the greatest ever Sri Lankan innings. Since then, Mendis has put together some impressive ODI innings as well, and has embedded himself in the Test top four. ",,,
Gerhard Erasmus(c),Namibia,Right hand Bat,Right arm Offbreak,Allrounder,,,,
Nicholas Pooran(c)†,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,,,,
